Word,Count
:,4
added,4
dao.FolderDao,4
general.Function,4
#setModified(Date),4
'<em>Up,4
'<em>Rating</em>',4
'<em>Finished</em>',4
know,4
\CascadeType.DELETE})'"\\,4
documentType,4
dao.impl.EventDaoImpl,4
<em>Email</em>}',4
correct,4
<em>Hibernate,4
items,4
longer,4
'<em><b>Content,4
dao.GenericDao,4
---,4
Source</em>}',4
'<em>Via</em>',4
Function</em>',4
'<em>Creation,4
<em>Reviewed</em>}',4
'<em>Icon</em>',4
ConnectionType,4
Management</em>',4
constant,4
baseImage,4
dao.impl.ContentObjectDaoImpl,4
<em>Database</em>}',4
general.FileFunctionStatus,4
general.SessionSatus,4
Satus</em>}',4
'<em>Project</em>',4
System.currentTimeMillis()/1000;,4
Session</em>',4
general.impl.CheckInMilestoneImpl,4
'<em>Reviewed</em>',4
where,4
dao.ContentObjectDao,4
grid,4
general.DataSource,4
'<em>Dummy</em>',4
meta-model,4
dao.impl.GenericDaoImpl,4
@deprecated,4
'<em>Users</em>',4
user,4
dao.ConnectionDao,4
Relevant</em>}',4
general.impl.FunctionImpl,4
'<em>Level</em>',4
every,4
void,4
\"\main"\\,4
<em>Task</em>}',4
'<em>Full,4
dao.ContainerDao,4
general.impl.DataSourceImpl,4
<li>and,4
strikeout,4
org.hibernate.Session,4
general.impl.EventImpl,4
general.CheckInMilestone,4
nicer,4
'<em>Modfied,4
'<em>Times,4
Util</em>}',4
<code>target</code>,4
drop,4
******************************************************************************,4
end,4
<em>Release</em>}</li>,4
containing,4
Relevant</em>',4
types,4
File</em>',4
Dir</em>',4
dao.impl.FileDaoImpl,4
'<em><b>Customer,3
tree,3
Info4</b></em>',3
'<em><b>G90</b></em>',3
Directory</em>}',3
unused,3
#setDataSourceId(String),3
lists,3
general.Connection#getModified,3
displayed,3
'<em><b>Required</b></em>',3
general.Snapshot#isDeleted,3
general.Connection#isDeleted,3
general.Function#getName,3
sort,3
labels,3
Code,3
Risk,3
#getUsers(),3
general.Task#isFinished,3
test,3
'<em><b>Warning</b></em>',3
general.FileFunctionStatus#getOfFunction,3
'<em><b>SDD</b></em>',3
'<em><b>Up,3
general.User#getUsername,3
Class</em>}',3
because,3
#setEventId(String),3
general.Connection#getDatabase,3
Lint,3
Learned,3
SessionFactory,3
#setFileFunctionStatusId(String),3
general.ContentObject#getPartOf,3
'<em><b>Email</b></em>',3
values,3
general.Connection#getLastUsed,3
general.Event#getType,3
#setCheckInMilestoneId(String),3
